"Month","Commodity","Point figure"
"2010M08","01 FOOD AND NON-ALCOHOLIC BEVERAGES",109.02
"2010M09","01 FOOD AND NON-ALCOHOLIC BEVERAGES",110.39
"2010M10","01 FOOD AND NON-ALCOHOLIC BEVERAGES",111.41
"2010M11","01 FOOD AND NON-ALCOHOLIC BEVERAGES",112.38
"2010M12","01 FOOD AND NON-ALCOHOLIC BEVERAGES",113.16
"2011M01","01 FOOD AND NON-ALCOHOLIC BEVERAGES",114.40
"2011M02","01 FOOD AND NON-ALCOHOLIC BEVERAGES",116.93
"2011M03","01 FOOD AND NON-ALCOHOLIC BEVERAGES",117.28
"2011M04","01 FOOD AND NON-ALCOHOLIC BEVERAGES",117.31
"2011M05","01 FOOD AND NON-ALCOHOLIC BEVERAGES",116.29
"2011M06","01 FOOD AND NON-ALCOHOLIC BEVERAGES",116.77
"2011M07","01 FOOD AND NON-ALCOHOLIC BEVERAGES",115.63
"2011M08","01 FOOD AND NON-ALCOHOLIC BEVERAGES",115.58
"2011M09","01 FOOD AND NON-ALCOHOLIC BEVERAGES",116.57
"2011M10","01 FOOD AND NON-ALCOHOLIC BEVERAGES",117.15
"2011M11","01 FOOD AND NON-ALCOHOLIC BEVERAGES",118.72
"2011M12","01 FOOD AND NON-ALCOHOLIC BEVERAGES",119.15
"2012M01","01 FOOD AND NON-ALCOHOLIC BEVERAGES",120.11
"2012M02","01 FOOD AND NON-ALCOHOLIC BEVERAGES",121.86
"2012M03","01 FOOD AND NON-ALCOHOLIC BEVERAGES",122.44
"2012M04","01 FOOD AND NON-ALCOHOLIC BEVERAGES",122.48
"2012M05","01 FOOD AND NON-ALCOHOLIC BEVERAGES",121.84
"2012M06","01 FOOD AND NON-ALCOHOLIC BEVERAGES",122.16
"2012M07","01 FOOD AND NON-ALCOHOLIC BEVERAGES",122.42
"2012M08","01 FOOD AND NON-ALCOHOLIC BEVERAGES",122.38
"2012M09","01 FOOD AND NON-ALCOHOLIC BEVERAGES",123.34
"2012M10","01 FOOD AND NON-ALCOHOLIC BEVERAGES",124.02
"2012M11","01 FOOD AND NON-ALCOHOLIC BEVERAGES",125.07
"2012M12","01 FOOD AND NON-ALCOHOLIC BEVERAGES",126.00
"2013M01","01 FOOD AND NON-ALCOHOLIC BEVERAGES",126.48
"2013M02","01 FOOD AND NON-ALCOHOLIC BEVERAGES",129.29
"2013M03","01 FOOD AND NON-ALCOHOLIC BEVERAGES",129.91
"2013M04","01 FOOD AND NON-ALCOHOLIC BEVERAGES",130.68
"2013M05","01 FOOD AND NON-ALCOHOLIC BEVERAGES",130.97
"2013M06","01 FOOD AND NON-ALCOHOLIC BEVERAGES",129.91
"2013M07","01 FOOD AND NON-ALCOHOLIC BEVERAGES",130.14
"2013M08","01 FOOD AND NON-ALCOHOLIC BEVERAGES",128.49
"2013M09","01 FOOD AND NON-ALCOHOLIC BEVERAGES",128.24
"2013M10","01 FOOD AND NON-ALCOHOLIC BEVERAGES",128.69
"2013M11","01 FOOD AND NON-ALCOHOLIC BEVERAGES",129.44
"2013M12","01 FOOD AND NON-ALCOHOLIC BEVERAGES",130.58
"2014M01","01 FOOD AND NON-ALCOHOLIC BEVERAGES",131.43
"2014M02","01 FOOD AND NON-ALCOHOLIC BEVERAGES",131.42
"2014M03","01 FOOD AND NON-ALCOHOLIC BEVERAGES",130.39
"2014M04","01 FOOD AND NON-ALCOHOLIC BEVERAGES",129.98
"2014M05","01 FOOD AND NON-ALCOHOLIC BEVERAGES",129.04
"2014M06","01 FOOD AND NON-ALCOHOLIC BEVERAGES",129.21
"2014M07","01 FOOD AND NON-ALCOHOLIC BEVERAGES",129.04
"2014M08","01 FOOD AND NON-ALCOHOLIC BEVERAGES",128.61
"2014M09","01 FOOD AND NON-ALCOHOLIC BEVERAGES",129.32
"2014M10","01 FOOD AND NON-ALCOHOLIC BEVERAGES",128.41
"2014M11","01 FOOD AND NON-ALCOHOLIC BEVERAGES",128.96
"2014M12","01 FOOD AND NON-ALCOHOLIC BEVERAGES",129.34
"2015M01","01 FOOD AND NON-ALCOHOLIC BEVERAGES",129.58
"2015M02","01 FOOD AND NON-ALCOHOLIC BEVERAGES",128.30
"2015M03","01 FOOD AND NON-ALCOHOLIC BEVERAGES",128.35
"2015M04","01 FOOD AND NON-ALCOHOLIC BEVERAGES",127.89
"2015M05","01 FOOD AND NON-ALCOHOLIC BEVERAGES",127.36
"2015M06","01 FOOD AND NON-ALCOHOLIC BEVERAGES",127.10
"2015M07","01 FOOD AND NON-ALCOHOLIC BEVERAGES",125.59
"2015M08","01 FOOD AND NON-ALCOHOLIC BEVERAGES",125.51
"2015M09","01 FOOD AND NON-ALCOHOLIC BEVERAGES",125.56
"2015M10","01 FOOD AND NON-ALCOHOLIC BEVERAGES",126.71
"2015M11","01 FOOD AND NON-ALCOHOLIC BEVERAGES",127.18
"2015M12","01 FOOD AND NON-ALCOHOLIC BEVERAGES",126.99
"2016M01","01 FOOD AND NON-ALCOHOLIC BEVERAGES",126.59
"2016M02","01 FOOD AND NON-ALCOHOLIC BEVERAGES",126.17
"2016M03","01 FOOD AND NON-ALCOHOLIC BEVERAGES",126.35
"2016M04","01 FOOD AND NON-ALCOHOLIC BEVERAGES",126.69
"2016M05","01 FOOD AND NON-ALCOHOLIC BEVERAGES",125.21
"2016M06","01 FOOD AND NON-ALCOHOLIC BEVERAGES",125.02
"2016M07","01 FOOD AND NON-ALCOHOLIC BEVERAGES",125.61
"2016M08","01 FOOD AND NON-ALCOHOLIC BEVERAGES",124.81
"2016M09","01 FOOD AND NON-ALCOHOLIC BEVERAGES",124.74
"2016M10","01 FOOD AND NON-ALCOHOLIC BEVERAGES",125.05
"2016M11","01 FOOD AND NON-ALCOHOLIC BEVERAGES",126.17
"2016M12","01 FOOD AND NON-ALCOHOLIC BEVERAGES",126.25
"2017M01","01 FOOD AND NON-ALCOHOLIC BEVERAGES",123.58
"2017M02","01 FOOD AND NON-ALCOHOLIC BEVERAGES",125.54
"2017M03","01 FOOD AND NON-ALCOHOLIC BEVERAGES",124.25
"2017M04","01 FOOD AND NON-ALCOHOLIC BEVERAGES",124.50
"2017M05","01 FOOD AND NON-ALCOHOLIC BEVERAGES",123.99
"2017M06","01 FOOD AND NON-ALCOHOLIC BEVERAGES",123.74
"2017M07","01 FOOD AND NON-ALCOHOLIC BEVERAGES",123.70
"2017M08","01 FOOD AND NON-ALCOHOLIC BEVERAGES",124.73
"2017M09","01 FOOD AND NON-ALCOHOLIC BEVERAGES",124.23
"2017M10","01 FOOD AND NON-ALCOHOLIC BEVERAGES",124.61
"2017M11","01 FOOD AND NON-ALCOHOLIC BEVERAGES",125.81
"2017M12","01 FOOD AND NON-ALCOHOLIC BEVERAGES",126.16
"2018M01","01 FOOD AND NON-ALCOHOLIC BEVERAGES",125.46
"2018M02","01 FOOD AND NON-ALCOHOLIC BEVERAGES",127.12
"2018M03","01 FOOD AND NON-ALCOHOLIC BEVERAGES",127.41
"2018M04","01 FOOD AND NON-ALCOHOLIC BEVERAGES",126.61
"2018M05","01 FOOD AND NON-ALCOHOLIC BEVERAGES",126.93
"2018M06","01 FOOD AND NON-ALCOHOLIC BEVERAGES",126.66
"2018M07","01 FOOD AND NON-ALCOHOLIC BEVERAGES",126.20
"2018M08","01 FOOD AND NON-ALCOHOLIC BEVERAGES",126.96
"2018M09","01 FOOD AND NON-ALCOHOLIC BEVERAGES",127.71
"2018M10","01 FOOD AND NON-ALCOHOLIC BEVERAGES",127.87
"2018M11","01 FOOD AND NON-ALCOHOLIC BEVERAGES",127.21
"2018M12","01 FOOD AND NON-ALCOHOLIC BEVERAGES",127.58
"2019M01","01 FOOD AND NON-ALCOHOLIC BEVERAGES",128.05
"2019M02","01 FOOD AND NON-ALCOHOLIC BEVERAGES",129.71
"2019M03","01 FOOD AND NON-ALCOHOLIC BEVERAGES",128.55
"2019M04","01 FOOD AND NON-ALCOHOLIC BEVERAGES",129.16
"2019M05","01 FOOD AND NON-ALCOHOLIC BEVERAGES",127.56
"2019M06","01 FOOD AND NON-ALCOHOLIC BEVERAGES",128.03
"2019M07","01 FOOD AND NON-ALCOHOLIC BEVERAGES",127.12
"2019M08","01 FOOD AND NON-ALCOHOLIC BEVERAGES",129.13
"2019M09","01 FOOD AND NON-ALCOHOLIC BEVERAGES",128.06
"2019M10","01 FOOD AND NON-ALCOHOLIC BEVERAGES",128.34
"2019M11","01 FOOD AND NON-ALCOHOLIC BEVERAGES",128.65
"2019M12","01 FOOD AND NON-ALCOHOLIC BEVERAGES",129.83
"2020M01","01 FOOD AND NON-ALCOHOLIC BEVERAGES",130.35
"2020M02","01 FOOD AND NON-ALCOHOLIC BEVERAGES",131.43
"2020M03","01 FOOD AND NON-ALCOHOLIC BEVERAGES",130.84
"2020M04","01 FOOD AND NON-ALCOHOLIC BEVERAGES",130.50
"2020M05","01 FOOD AND NON-ALCOHOLIC BEVERAGES",130.60
"2020M06","01 FOOD AND NON-ALCOHOLIC BEVERAGES",131.11
"2020M07","01 FOOD AND NON-ALCOHOLIC BEVERAGES",130.85
"2020M08","01 FOOD AND NON-ALCOHOLIC BEVERAGES",130.29
"2020M09","01 FOOD AND NON-ALCOHOLIC BEVERAGES",130.62
"2020M10","01 FOOD AND NON-ALCOHOLIC BEVERAGES",130.54
"2020M11","01 FOOD AND NON-ALCOHOLIC BEVERAGES",130.60
"2020M12","01 FOOD AND NON-ALCOHOLIC BEVERAGES",130.07
"2021M01","01 FOOD AND NON-ALCOHOLIC BEVERAGES",130.83
"2021M02","01 FOOD AND NON-ALCOHOLIC BEVERAGES",131.23
"2021M03","01 FOOD AND NON-ALCOHOLIC BEVERAGES",131.43
"2021M04","01 FOOD AND NON-ALCOHOLIC BEVERAGES",131.61
"2021M05","01 FOOD AND NON-ALCOHOLIC BEVERAGES",131.21
"2021M06","01 FOOD AND NON-ALCOHOLIC BEVERAGES",130.63
"2021M07","01 FOOD AND NON-ALCOHOLIC BEVERAGES",130.83
"2021M08","01 FOOD AND NON-ALCOHOLIC BEVERAGES",130.90
"2021M09","01 FOOD AND NON-ALCOHOLIC BEVERAGES",131.36
"2021M10","01 FOOD AND NON-ALCOHOLIC BEVERAGES",131.85
"2021M11","01 FOOD AND NON-ALCOHOLIC BEVERAGES",132.61
"2021M12","01 FOOD AND NON-ALCOHOLIC BEVERAGES",132.23
"2022M01","01 FOOD AND NON-ALCOHOLIC BEVERAGES",135.01
"2022M02","01 FOOD AND NON-ALCOHOLIC BEVERAGES",137.12
"2022M03","01 FOOD AND NON-ALCOHOLIC BEVERAGES",138.15
"2022M04","01 FOOD AND NON-ALCOHOLIC BEVERAGES",139.46
"2022M05","01 FOOD AND NON-ALCOHOLIC BEVERAGES",143.09
"2022M06","01 FOOD AND NON-ALCOHOLIC BEVERAGES",144.87
"2022M07","01 FOOD AND NON-ALCOHOLIC BEVERAGES",147.05
"2022M08","01 FOOD AND NON-ALCOHOLIC BEVERAGES",147.27
"2022M09","01 FOOD AND NON-ALCOHOLIC BEVERAGES",150.42
"2022M10","01 FOOD AND NON-ALCOHOLIC BEVERAGES",152.59
"2022M11","01 FOOD AND NON-ALCOHOLIC BEVERAGES",153.92
"2022M12","01 FOOD AND NON-ALCOHOLIC BEVERAGES",153.43
"2023M01","01 FOOD AND NON-ALCOHOLIC BEVERAGES",155.85
"2023M02","01 FOOD AND NON-ALCOHOLIC BEVERAGES",159.43
"2023M03","01 FOOD AND NON-ALCOHOLIC BEVERAGES",160.53
"2023M04","01 FOOD AND NON-ALCOHOLIC BEVERAGES",158.57
"2023M05","01 FOOD AND NON-ALCOHOLIC BEVERAGES",158.95
"2023M06","01 FOOD AND NON-ALCOHOLIC BEVERAGES",158.23
"2023M07","01 FOOD AND NON-ALCOHOLIC BEVERAGES",159.05
"2023M08","01 FOOD AND NON-ALCOHOLIC BEVERAGES",157.29
